Owner,Name,Stars,URL,Created Date,Branch Count,Forks Count,Languages,Languages Proportions
SteveGaleGordon,industry4.0,0.0,https://github.com/SteveGaleGordon/industry4.0,2019-03-07,1.0,0.0,['PHP'],{'PHP': 1.0}
tonyahowe,NiC,3.0,https://github.com/tonyahowe/NiC,2014-10-07,1.0,4.0,"['XQuery', 'HTML', 'CSS', 'XSLT', 'JavaScript']","{'XQuery': 0.37600087448419095, 'HTML': 0.2771459022217364, 'CSS': 0.25512529718798677, 'XSLT': 0.08052906293553412, 'JavaScript': 0.011198863170551744}"
agno3xzy,OnlineDocs,1.0,https://github.com/agno3xzy/OnlineDocs,2019-04-25,1.0,0.0,"['JavaScript', 'Java', 'CSS', 'TSQL']","{'JavaScript': 0.6644741889016113, 'Java': 0.2950753066390879, 'CSS': 0.03690607766201369, 'TSQL': 0.0035444267972871996}"
GeoNode,geonode-api,1.0,https://github.com/GeoNode/geonode-api,2018-03-28,1.0,1.0,[],{}
yo1000,kc4-boot2,0.0,https://github.com/yo1000/kc4-boot2,2018-06-16,1.0,0.0,"['Kotlin', 'Shell']","{'Kotlin': 0.5095340501792115, 'Shell': 0.4904659498207885}"
jayarajvemula,bits-osseproject-group52,1.0,https://github.com/jayarajvemula/bits-osseproject-group52,2021-04-10,7.0,2.0,"['PowerShell', 'Java']","{'PowerShell': 0.7786885245901639, 'Java': 0.22131147540983606}"
revagomes,p2-dev,0.0,https://github.com/revagomes/p2-dev,2022-12-02,1.0,0.0,"['JavaScript', 'CSS', 'PHP', 'SCSS', 'Twig', 'Makefile', 'Gherkin']","{'JavaScript': 0.5802025712518267, 'CSS': 0.19708896280291552, 'PHP': 0.1423478810482244, 'SCSS': 0.05765704987403735, 'Twig': 0.015219739826610843, 'Makefile': 0.004976869491935701, 'Gherkin': 0.002506925704449485}"
lluissalord,radiology_ai,6.0,https://github.com/lluissalord/radiology_ai,2020-09-02,9.0,0.0,"['Jupyter Notebook', 'Python', 'Mako']","{'Jupyter Notebook': 0.9891919586655945, 'Python': 0.010643785865900953, 'Mako': 0.00016425546850459155}"
CatCora98,Automated-Resume-Screening-System,3.0,https://github.com/CatCora98/Automated-Resume-Screening-System,2020-11-13,1.0,2.0,"['Python', 'Dockerfile']","{'Python': 0.991858328581385, 'Dockerfile': 0.008141671418614965}"
raveenb,bounce_hackathon_10,1.0,https://github.com/raveenb/bounce_hackathon_10,2019-07-27,19.0,1.0,"['Jupyter Notebook', 'Python', 'JavaScript', 'HTML']","{'Jupyter Notebook': 0.9851197410756006, 'Python': 0.007984436015650563, 'JavaScript': 0.0061318838863615235, 'HTML': 0.0007639390223872331}"
alanpurple,NCF_TF20,1.0,https://github.com/alanpurple/NCF_TF20,2019-03-25,1.0,1.0,['Python'],{'Python': 1.0}
lucasvenez,bpd4cd,5.0,https://github.com/lucasvenez/bpd4cd,2015-01-24,1.0,0.0,"['Java', 'R']","{'Java': 0.9654909695633678, 'R': 0.03450903043663225}"
all-laugh,movie-recommender-collaborative,0.0,https://github.com/all-laugh/movie-recommender-collaborative,2020-12-31,1.0,0.0,['Java'],{'Java': 1.0}
ToferC,GC2.0-Tools,0.0,https://github.com/ToferC/GC2.0-Tools,2015-01-19,1.0,0.0,[],{}
chikitang,A,8.0,https://github.com/chikitang/A,2022-06-08,1.0,3.0,[],{}
